昵称,地区,性别,粉丝数,用户发布微博数量,评论
声誉传媒,海外,女,350910,17129,"所以吸烟者应该自觉些才是。<img alt=""[衰]"" title=""[衰]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a2/2018new_shuai_org.png"" />"
何珊瑶,北京,女,169383,46172,长沙做为湖南省的省会城市，理应在餐厅等公共场所实行“禁烟令”！
疯狂原始人哈哈哈,其他,男,35,165,"公共场所禁止吸烟 饭店不就是公共场所没<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />"
晚风庭院落初梅8,其他,男,37,23,"得看这餐厅是否有禁止吸烟规定<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />"
小土大橙子,上海 浦东新区,女,1959843,22271,二手烟真是太难闻了，对身体也很不好
AnemoneNing,广东 广州,女,1256,3268,"意思是长沙可以凌驾于法律法规之上，只要室内不标识禁烟就可以抽了！！！<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />"
Zayn1995,其他,男,74,200,刚从长沙旅游回来 确实室内都不禁烟的 吸二手烟真的很痛苦
一本正经胡说八道的哲学家,河北,女,13375,3658,未悬挂禁烟标识是商家的问题，而不是说没有挂就可以不予制止 
妖精霍璇,江西 宜春,女,670,4295,连续多年最具幸福感城市，都是爱抽烟的投的票吧🙃
nani20240113,其他,女,1,186,公共室内场所禁烟，是全民共识，现在长沙除外……
顾文豪,云南 昆明,男,933942,30566,"不是非要法律有规定才需遵守的，还有社会公德职业道德啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" /><img alt=""[围观]"" title=""[围观]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2018new_weiguan_org.png"" /><a target=""_blank"" href=""https://weibo.com/2822805792/5115900567227852""><img class=""icon-link"" title=""http://t.cn/A6ubrofi"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_weibo_default.png""/>微博正文</a>"
冷冻柠檬茶ly,江苏 南京,女,259,2734,文明洼地
掌锦衣事Tagara,浙江,男,241229,35800,"<a href=""//s.weibo.com/weibo?q=%23%E5%BE%90%E5%A8%87%E5%8A%9D%E9%98%BB%E6%8A%BD%E7%83%9F%E9%A4%90%E5%8E%85%E4%BA%BA%E5%9D%87103%E5%85%83%23"" target=""_blank"">#徐娇劝阻抽烟餐厅人均103元#</a>把12345接线员和出警的叔叔家里的，还有吸烟这位大哥家的老人、孩子都请过来，享受一下二手烟，大家觉得如何？<a href=""//s.weibo.com/weibo?q=%2312345%E5%9B%9E%E5%BA%94%E5%BE%90%E5%A8%87%E5%8A%9D%E9%98%BB%E7%94%B7%E5%AD%90%E9%A4%90%E5%8E%85%E6%8A%BD%E7%83%9F%23"" target=""_blank"">#12345回应徐娇劝阻男子餐厅抽烟#</a>"
午后红茶rrr,其他,女,323,302,为什么可以室内抽烟？
來不及--訴說,陕西 西安,女,66,102,看见谁抽烟我都躲的老远
热烈的晨光,其他,男,620,489,长沙市有没有创成文明城市？如果有的话，公共场合禁止吸烟是其中一条规定。
醒客Thinker,河南,男,353474,64052,咦，刚才见有个人在地铁里抽烟。不知道有没有相关法律规定啊？
布川苦籽,广东 广州,女,133,1969,"怪不得说长沙烟火气重呢<img alt=""[酷]"" title=""[酷]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c4/2018new_ku_org.png"" />这“烟”火气确实重"
金陵王成之,江苏,男,137471,27362,"【<a href=""//s.weibo.com/weibo?q=%2312345%E5%9B%9E%E5%BA%94%E5%BE%90%E5%A8%87%E5%8A%9D%E9%98%BB%E7%94%B7%E5%AD%90%E9%A4%90%E5%8E%85%E6%8A%BD%E7%83%9F%23"" target=""_blank"">#12345回应徐娇劝阻男子餐厅抽烟#</a>：对于室内抽烟的具体规定，目前暂未查询到专门的相关法律条文】<a href=""//s.weibo.com/weibo?q=%23%E5%BE%8B%E5%B8%88%E8%B0%88%E5%BE%90%E5%A8%87%E5%8A%9D%E9%98%BB%E7%94%B7%E5%AD%90%E5%90%B8%E7%83%9F%E8%A2%AB%E6%89%94%E7%83%9F%E5%A4%B4%23"" target=""_blank"">#律师谈徐娇劝阻男子吸烟被扔烟头#</a>12月26日，话题<a href=""//s.weibo.com/weibo?q=%23%E6%8A%BD%E7%83%9F%E7%94%B7%E5%AD%90%E7%A7%B0%E5%BE%90%E5%A8%87%E5%88%A0%E9%99%A4%E8%A7%86%E9%A2%91%E5%B0%B1%E4%BC%9A%E9%81%93%E6%AD%89%23"" target=""_blank"">#抽烟男子称徐娇删除视频就会道歉#</a>登上微博热搜。演员<a href=/n/徐娇 usercard=""name=@徐娇"">@徐娇</a> 发文称：“在长沙的一家餐厅遇到一位抽烟的男士，让服务员劝阻后仍放话“我把这支抽完”， ...<span class=""expand"">全文</span>"
GregAbbottom,北京 海淀区,男,112,3192,转发微博
生姜进了垃圾桶,西藏,女,203,13490,不是 为什么要对吸烟的人这么宽容…
LLyyy77,其他,女,1012,27847,我觉得也别吵了 反正知道长沙室内抽烟不犯法了 给爱吸烟人士还提供便利了 我们受不了的只能不去了
甜甜x热苏打,其他,女,168,1180,给你热度，希望能改善一下环境，约束一下公共场所🚬问题
爱吃肉的羊Matt,上海 黄浦区,男,7,21,看来以后长沙不用去了
用户7uuvaaax6m,其他,男,72,43,长沙室内不禁烟，大家不要去长沙了，不然合法吸二手烟！
穗鏸穗鏸,陕西 西安,女,371,206,成都也是！！！餐厅吸烟的人好多
星辰412413,其他,男,113,4,以后就叫长沙国吧
wbl暖暖,其他,女,165,12006,餐厅不禁烟的吗？！
我不是骑兵,山东,男,903,134,这波站徐娇
Dreamer2two,山西,女,244,5403,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
你亲我一口我就告诉你,其他,男,142,162,"知道的是进餐厅了，不知道的以为钻人被窝了呢，我非得吸这二手烟不可是吗<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
香港老兔子,广东,男,97,380,长沙室内不禁烟，不想吸二手烟可以不到长沙。
启程小7,其他,女,0,35,徐娇的微博应该被上面处理了，热搜让长沙火了
Alitar007,其他,男,229,10239,"有个地方，不但盛行致癌的槟榔干，还盛行一起室内吸二手烟<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
启程小7,其他,女,0,35,把热搜一直挂着，别让它掉下来
地球上的火星人haha,广东,女,20,1358,"谁想吸二手烟啊<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
sh1578527987,山东 济南,男,90,128,根据规定，公共场所禁止吸烟。12345竟然查不到。
6月悠然,天津,女,143,383,还以为全国室内公共场所都不能吸烟呢
糖小果199206,其他,男,0,51,不应该吧，这么洋气的城市
手扶桑枝,其他,女,3,1076,"原来长沙是这样的呀，真文明<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
zd90dhc,其他,男,38,2216,抽烟的能不能别在室内啊
透明无色般,辽宁 大连,女,279,6724,没有这方面的法律，只有条例。 
听街头卖豆花,其他,男,31,138,"<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
Danny伸出手吧,广东 广州,女,405,975,没人想吸二手烟没人想吸二手烟没人想吸二手烟
Aimee1217,浙江,女,1197,711,"喜欢徐娇<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
浪花朵朵2046,湖南 娄底,男,22,652,"<a href=/n/长沙文旅 usercard=""name=@长沙文旅"">@长沙文旅</a>  长沙公共场合室内可以吸烟?"
二十四桥惆怅客,其他,男,118,2228,长沙有自己的条例？
什么风把你吹来的99,河南,女,59,432,呵呵！！！
笔咔笔咔,其他,女,39,412,"6<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />"
嘲风乄,上海,女,2,232,长沙是不能去了
Ranran710,北京 朝阳区,女,70,1280,"“在地方相关法律尚未发布情况下，一般按照国家相关法律执行”  望周知<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
土星外碎盐西多士,其他,女,435,1150,"室内抽罚3k起才正常<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
卡布奇诺老阿姨,广东 佛山,女,43,1565,"转发一下，赶紧把这件事情闹大，不想在电梯和街头闻到二手烟了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
如果今天下雨就陪我回江南吧,其他,女,240,1200,"<a href=/n/SimplyLoulu usercard=""name=@SimplyLoulu"">@SimplyLoulu</a> <a href=/n/可爱不就行了吗马文才 usercard=""name=@可爱不就行了吗马文才"">@可爱不就行了吗马文才</a>"
兔宝儿不吃胡萝卜,山东,女,48,63,长沙竟然没有这个规定？
城崬絮,北京 丰台区,女,594,60573,"这就是人间烟火么？？//<a href=/n/StrongerStrongest usercard=""name=@StrongerStrongest"">@StrongerStrongest</a>:欢迎大家来文明城市长沙吸二手烟"
好困啊今晚一定早点睡,广东 深圳,女,300,10278,厉害了长沙
177jjyau,其他,女,1153,719,"<img alt=""[淡淡的]"" title=""[淡淡的]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2024_takearest_org.png"" />室内就应该禁烟啊"
我是宁宁诶,河南,女,12481,6528,她好勇敢
Chloe一酱酱,广东 广州,女,75,448,这波 支持徐娇 其他不说了
图灵sama丶,河南 郑州,男,1541,1578,抢手机。。警察应该管的
ace迪克龚仔,其他,女,10343,12338,"长沙走路上都是边走边抽的<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />"
喵好早点睡,其他,女,25,1108,"烟草税的诱惑太大了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
_Nov魔糊糊糊不吃胡萝卜,上海 杨浦区,女,413,904,看来要出台了
绝世大歪哥,海外,男,5672,5780,勇敢死了
八辈子赖床鬼,辽宁 鞍山,女,107,682,图片评论 
要细细细细心,四川,女,1,4171,怎么就不能公共场合禁烟了
深夜无眠,上海,男,1079559,64417,喔！长沙室内可以抽烟！知道了
懒的去喷,江苏 南京,男,214,26,牛逼的城市
条件并非全都反射,北京,女,63,10604,"是时候改改规则了吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /> 现在就全禁了也不迟呢"
蒙奇奇Penny,江苏,女,10234,553,为啥我记得室内公共场所全面禁烟呢？
写文的闪灵,安徽 合肥,女,127489,13024,这种人渣……
不问月s,江苏 无锡,男,3806,773,来江苏玩，十三个城市随便逛
--好柿花生,其他,女,2931,1252,不是，我印象中公共场合禁止吸烟啊？ 我记错了吗
心智复利,广东 深圳,男,31774,11060,接线人员称，目前长沙市针对互联网上网服务营业场所有明确的管理条例。该条例规定，若此类场所利用明火照明、发现吸烟不予制止，或未悬挂禁止吸烟标志，将由公安机关给予警告。
长命百岁的云吞面,北京,女,189,4486,还有高铁站台
旱地小摩托赵双拐,北京,男,19,11,法无禁止即可为！应抽尽抽
两个昊浩小宝贝,其他,女,37,7217,以后室内吸烟更肆无忌惮了
北京铁刷自行车俱乐部,北京 丰台区,男,18867,21437,"支持她<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />"
kuroinu9,湖南,男,34179,7477,1!5!
冰摩卡boiling,其他,男,56,3291,我聞烟味儿真的会晕会想吐……我可太理解不想聞烟味儿的感觉了！！！
樂樂樂言,陕西 西安,女,160,461,好多城市都是公共场所禁止吸烟的，长沙没有吗…
绒喵开门系我,其他,女,47,567,二手烟真的有害健康，我们要一起抵制二手烟
夗夘邜乛,北京 海淀区,女,328,8138,室内吸烟罚款五十，难道我记错了
鸣尼苏打,其他,女,1957,1038,我也不喜欢二手烟，不过我没想到评论区都很震惊并且表示其他城市室内吸烟都是禁止的，餐馆网吧什么的里有人吸烟多常见，办公楼楼梯间有人吸烟也很常见吧，如果评论区的人觉得不常见，那我觉得很羡慕，你们城市管理真的好
臻筑空间设计08,北京 东城区,男,14,72,还是以前好，有全国性的室内禁烟运动。
可爱沅沅0910,北京 东城区,女,290,925,干得漂亮
0616与丞同行01636,北京,女,30,3660,室内抽烟确实影响就餐环境
月漫颖记,河北,女,2170,5630,"我不想抽二手烟<img alt=""[淡淡的]"" title=""[淡淡的]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2024_takearest_org.png"" />也不想吃碗里有烟灰的饭"
层-_-层,上海,女,1043,37234,"<a href=/n/长沙警事 usercard=""name=@长沙警事"">@长沙警事</a> 创建文明城市 请游客抽二手烟 <a href=/n/长沙文旅 usercard=""name=@长沙文旅"">@长沙文旅</a> 一年白干"
泷儿个泷,其他,女,118,347,支持娇娇！！
李小黑BlackLee,上海,女,18,9692,哦 原来长沙人民经常吸二手烟啊
Oreo_KoKo,湖南,女,75,810,哪家饭店啊？？？？
akoosi,浙江 温州,男,2922,2050,图片评论 
至火焰山,湖南,女,43,5780,对徐娇好感度拉满
再吃一颗红苹狗,其他,男,12,896,"避雷所有不禁烟的消费场所<img alt=""[揣手]"" title=""[揣手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2022_chuaishou_org.png"" />不想吸二手烟"
