昵称,地区,性别,粉丝数,用户发布微博数量,评论
honey点墨宝贝,浙江 金华,女,105,15,长沙文旅白干
瑞塔Ritata,广东 广州,女,85,2356,这边建议公共场所抽烟的都自己去一个新的星球呢
Jennymiumiu1128,其他,女,10,122,什么时候公园也能禁烟
小心我打你嗷,黑龙江 哈尔滨,男,122,1671,这种社会新闻 是有价值的
你有点东西晚安,其他,女,375,77,之前武汉一家贴有禁烟标志的餐厅吃饭 隔壁桌一直抽 让店员提醒居然不敢 不得已只能说自己怀孕了才去制止
近未来的chichi,北京,女,196,167,长沙的城市管理一直非常松散和随意
晨向阳光,广东,女,1312,1405,欢迎各位喜欢二手烟的朋友到长沙旅游
壹碗炸酱面,其他,女,89,4129,"存一下，长沙继西安之后，另一个不值得去玩第二回的城市//<a href=/n/星空下的兴哥 usercard=""name=@星空下的兴哥"">@星空下的兴哥</a>:好。现在知道了，长沙的室内吸烟，不用理会别人的感受，也不会被罚款，因为没依据。<img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" /><img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" />"
匆匆Cecilia,上海 长宁区,女,165,1763,避雷这家餐厅
甜噗owoovo,其他,女,11,38,一切按照男宝利益执行
樽中酒中鳟,河北 张家口,男,353,3146,法无禁止即可为，拒绝道德绑架
隐形的隐形的我,上海 浦东新区,女,453,11537,"<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />"
提前谋划沿线,其他,女,3,23,"懂了，避雷长沙<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
最爱玉萌萌撒娇3,吉林 长春,女,689,2213,"拒绝吸二手烟，太不像话了<img alt=""[傻眼]"" title=""[傻眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/dd/2018new_shayan_org.png"" />"
最爱玉萌萌撒娇,吉林 长春,女,227749,8263,"瞬间对徐娇好感倍增<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />"
最爱玉萌萌撒娇2,上海 黄浦区,女,775,3620,"姐姐这次干的真是太漂亮了<img alt=""[彩虹屁]"" title=""[彩虹屁]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4b/2022_praise_org.png"" />"
最爱玉萌萌撒娇2,上海 黄浦区,女,775,3620,"谁想在车厢里吸二手烟<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />"
最爱玉萌萌撒娇,吉林 长春,女,227749,8263,"好霸气的姐姐，比男孩子都勇敢<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />"
最爱玉萌萌撒娇,吉林 长春,女,227749,8263,"醋缸小宝贝晚上好啊！<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />周四愉快"
萌娃小宸宸-,江苏 南京,女,730,2119,"徐娇小姐姐真是太霸气<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />"
萌娃小宸宸-,江苏 南京,女,730,2119,"在车上抽烟难道就没有别人管管吗？<img alt=""[傻眼]"" title=""[傻眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/dd/2018new_shayan_org.png"" />"
最爱玉萌萌撒娇3,吉林 长春,女,689,2213,"小姐姐真是太给力了<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
爷喜欢自由,其他,男,558,1329,"以后再遇到这种事儿就应该罚<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
爷喜欢自由,其他,男,558,1329,"这个男的真是素质太低了<img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />"
THE·SNAKE,黑龙江 哈尔滨,男,12187,2922,说的就是，支持小姐姐
杭田视频,山东,男,182197,19973,"海浪是大海献给黄昏的温柔，遇见你是世界献给我的礼物，我的宝，周四愉快哦~ <a href=/n/Angel浴缸 usercard=""name=@Angel浴缸"">@Angel浴缸</a>!"
小豆子本豆i,其他,女,73513,1387,"好酷的小姐姐<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
2024WP高峰,重庆,女,2173,29001,"徐娇真的很勇敢<img alt=""[赢牛奶]"" title=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" />"
小羊帕妮,其他,女,476,6603,徐娇好勇敢
心心念念的年年,辽宁 铁岭,女,192,20632,真的太给力了。
cococil-,其他,女,592,1251,二手烟的危害比一手烟都要大！害人害己
阿绿发财又健康,广东 广州,女,25,817,真的勇！
Q弹芒狗,浙江,女,10023,21119,室内抽烟就是不对
TOP登陆少女-鱼丸面汤,江西,男,4970,13723,做的太对了！！
幸运逸直在的,广东 广州,女,191,6306,徐娇一直很勇敢的表达自己的正义
狗耳摸不得,其他,女,14399,19102,徐娇真的特别勇敢啊
Borreco,其他,女,60,104,我有一个“激进”的论断，那就是在公共场合吸烟的人应该和强奸猥亵他人的人同等对待，因为他们本质上都是憋不住想爽一把，同时给他人带来伤害。应该让吸烟这件事像吸毒一样上不了台面！
青树柠檬花已开,其他,女,145,740,这做法也太酷了，好勇敢呀！
玄武湖畔TIGER,其他,女,72,4907,没有人愿意吸二手烟 室内居然可以抽烟
哥哥不会亏待你的,广东 广州,女,131,176,偷拍怎么罚
旧時旧夢故居寻故人,其他,女,32,2762,同意，超级讨厌二手烟，有的人真不自觉
翻斗花园羊脚兽,北京,女,497,86,"没规定不准室内吸烟，那也没规定不准化妆啊，那怎么高铁上宣传片还写化妆是不文明行为，合着吸烟就是文明的呗<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />"
ivy-xxin,重庆 渝中区,女,24,464,让人吸二手烟 还觉得挺有脸
眉神荔枝,其他,女,205,831,"娇娇也太厉害了吧<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
月半湾-ybw,其他,女,144,765,素质太低了吧
神速52,其他,男,232,4852,特别厉害了
禹言兮,其他,女,3,12,拒绝二手烟
白瑞的兔子,江苏,女,1345,167,而且烟头扔别人碗里真的好恶心啊
一笛斜阳暮归,福建 厦门,男,17,1894,室内抽烟确实影响他人
步步进薪_步步尽心,上海 静安区,男,707,16488,长沙室内不禁烟？
还是要打工啊,湖北 武汉,女,0,0,我一个不抽烟的人今年体检被建议戒烟，被二手烟裹挟的世界
肉丸子变形记,其他,男,86,44,室内抽烟真的😤
别挡我姻缘,河南 焦作,女,36,240,"商场医院这些地方不是都应该禁烟吗<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />我这四线都算不上的地方好多餐厅都还不让吸烟呢<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
捉一只牙牙,其他,女,454,10173,"让我吸二手烟的都该4<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />"
水桶般地水蛇腰,青海 西宁,男,231,11369,环保少女
飞翔的波比,广西,男,281,8946,国家对室内28种公共场合禁烟，包括餐厅，11年都开始了，长沙不是法外之地。
顾文豪,云南 昆明,男,933942,30566,"没有法律规定就不能管了吗，那除了规定还有社会公德嘛<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[围观]"" title=""[围观]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2018new_weiguan_org.png"" /><a target=""_blank"" href=""https://weibo.com/2822805792/5115900567227852""><img class=""icon-link"" title=""http://t.cn/A6ubrofi"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_weibo_default.png""/>微博正文</a>"
白条原点,广东,男,372,679,感觉长沙有关部门，应该给徐娇这次的行动给予肯定，现在期待有他们发声，应该支持徐娇，是否也该处理一下餐厅，这个也是由有关部门来定。
十万伏特簡,陕西 西安,女,184,2049,二手烟简直糟糕透顶
xxxx-2728,安徽,女,21,134,这波姐姐厉害了！
凤凤凤凤6541246012,安徽,女,9,5375,学学香港
凌晨两点听摇滚,海外,女,232,1734,取消长沙文明城市称号☝
最爱彭的眼神,北京 朝阳区,女,201,5781,四个直辖市及各省省会城市必须带头室内禁烟，违规罚款500元以上，参考一下香港澳门吧，罚款1500元。
mrqm2,湖南,女,110,12,如果是写了牌子禁止吸烟那就是男的问题  如果没写  这个也不能强制吧
绵绵沙哩哩,其他,女,1,269,"支持<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
遠mu,其他,女,41,291,他这么喜欢抽烟怎么不吃进肚子里
大豆蛋白胨,江苏,女,170,752,支持室内禁烟！
K1vid奇德,辽宁 沈阳,男,3,101,长沙人民太可怜了
臭鼬汉堡,其他,女,6,176,长沙牛
不爱吃香菜的呜呜,江苏,男,36,146,.
子皓_1988,其他,男,7,15,"长沙岳麓自治区<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
有一丢丢尴尬,重庆 南岸区,女,245,4904,"庆幸我们老板不抽烟，所以也禁止办公室内抽烟<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
暗黑辉火,广东 广州,男,285,2449,《长沙市文明行为促进条例》 《长沙是全国文明城市》
夏子Suen,其他,女,1094,4904,我一直以为室内禁烟是一条法律！
71芬芳,福建 漳州,女,160,3267,。
77乐在天堂_za0,北京 顺义区,男,178,4,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
垃圾篓又及半桶水先森,广东 深圳,女,169,1811,室内不禁烟？震惊了
2012风振衣的妞,北京 朝阳区,女,271,1582,"我老公在长白山景区劝阻游人抽烟，差点挨打<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
SFC-爱SHOW,北京 西城区,女,131,3561,室内禁止抽烟，不是全国性的规定?
宁婷婷tt,陕西 咸阳,女,234,1704,抢手机扔烟头？
7934394876_253,其他,男,4,1,还敢抢别人手机
长沙广告人,湖南 长沙,男,995,8513,这 。。。。。。。
小样儿-13正,山东 烟台,男,2852,123,这是个什么地方可以吸烟？
5掩耳,新疆,女,184,3338,室内抽烟应该也没什么吧
我有只狗叫Odie,广东 深圳,女,344,129,长沙餐馆居然不禁烟？
军仔20827,其他,男,10,3900,"<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
半丶夏,广东 江门,男,255,208,0
关机重启事实,其他,女,50,26,符合地方特色
Jenta遥,广东 东莞,男,139,33,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
御剑西风0513,山东 淄博,男,12,20,看看
萌萌的剑廿三,江苏 徐州,男,27,5332,掺杂
唐朝微-商,北京,男,100,17,"<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />"
樱花之粉-五分钟粉唇,其他,女,2,15,强迫别人吸二手烟的，素质跟他就没关系！
用户3074341946,北京 东城区,男,3,65,室内不禁烟，长沙真牛逼！
瞎掰o0,北京 朝阳区,男,40,60,也就是说，当地没有禁止餐厅吸烟的规定，但这个女的以对方在餐厅吸烟为由，网暴他～。
本咩行要更名坐要改姓嘎嘎乱杀,其他,女,1798,33118,死老比登，室内抽烟影响别人
gerlany,江苏 苏州,男,85,4,徐娇就知道打拳挑动对立，建议封杀
夭夭villy,湖南 长沙,女,417,4181,吸二手烟是常态，我们家没人抽烟，我吸二手烟大部分是工作中，特别是开会一堆人抽烟，只能说无语
乐天Boss,北京 朝阳区,女,838,3638,抽烟的人真的很烦 北京市内禁烟 但还是很多不自觉的臭男人在抽
博学且猪猪,湖北 武汉,女,93,7,果然公众场合抽烟的人就是素质低
李木子LL0601,其他,女,6,87,"长沙室内不禁烟离了大谱了！投诉后帽子蜀黍尽然也不做为！估计他也在室内公关场合吸烟吧！<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
Jason_Star1220,浙江,女,16,2570,"室内吸烟是真的很讨厌好嘛<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" /><img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" /><img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />"
好久不见不如不见--,湖北 武汉,女,891,3708,室内抽烟真的下头 还有电梯抽烟的 特别烦
莉浛公子,天津 塘沽区,男,22,283,闲得蛋疼 就是为了蹭流量
阿甘中举,北京 东城区,男,66,1341,可能是在沿海大城市呆惯了，其实大部分地方的人在公共场合也不会驯良规矩的，都是比谁更横
导演发盒饭,湖北 十堰,男,50,9,"法律上没有规定公共场所不得吸烟，场所也没有禁烟标志。吸烟者除了不道德并没有违反任何规定，你除了拍个视频谴责他和让自己上个热搜还能怎么样<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
既生鱼何生又,北京,男,516,1757,室内抽烟和电梯里抽烟的痨病鬼们都没好下场。
心灵熊猫,上海 黄浦区,男,443,5588,我一直以为全国都室内禁烟了呢
Borreco,其他,女,60,104,我有一个激进的论断，那就是在公共场合吸烟的人应该和强奸猥亵他人的人同等对待，因为他们本质上都是憋不住想爽一把，同时给他人带来伤害。应该让吸烟这件事像吸毒一样上不了台面！
breathe_again_v,广东 广州,女,342,2775,谁稀罕他的道歉，自己做错事还有理了
菲常无敌,北京,男,788,12556,"公共场合吸烟的都是垃圾<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />"
吾爱麦兜,海外 澳大利亚,女,770,6912,"<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />还不全面🈲🚬啊啊啊啊<img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" /><img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" /><img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" /><img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" /> 从小就被那些在室内和密闭空间抽烟🚬的人烦死了😡 "
青青子衿_zj,西藏 阿里,女,103,659,"室内抽烟真的恶臭。。<img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" /><img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" /><img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" />"
我的爱是垃圾滋崩除外,陕西,女,709,1521,"微博网友素质还是提高不少，评论区至少没人反智到提航母了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
ZonazzzZ,贵州 六盘水,男,133,30,要是别人没说不允许室内抽烟，那你可以去沟通，不能强迫别人，你可以说他没道德，但是你贴脸拍就是什么好人了？不一样都是一丘之貉吗？
-17的奇异果就是我,其他,女,1,7,有的人竟然在电梯吸烟。被二手烟裹挟，该死
十早小先生,其他,女,7,11,公众场合吸烟的都去死
红日中天时-,上海,男,994,1786,"公共场所禁止吸烟<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />那些说环保的，去看看欧美<img alt=""[阴险]"" title=""[阴险]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9e/2018new_yinxian_org.png"" />艹 它们 ma 的<img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" />"
诚华大健康产业,广东 广州,男,55,10,"每次在吃饭的地方闻到烟味真的很反胃，室外随地抽就算了，吃个饭也堵不住嘴么<img alt=""[怒骂]"" title=""[怒骂]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/87/2018new_zhouma_org.png"" />"
胖胖胖的胖哥,四川,男,12,148,"抢手机扔烟头在别人碗里一点事都没有呗<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" /><img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />"
卖身又卖艺的沧桑人,湖南 长沙,男,264,1187,关她屁事
sounds_ld,江西 南昌,女,40,93,我之前碰到过类似情况。 之前在饭店门口碰见一男的用强把女生抱上车，我下意识掏手机拍照录像，不过由于没经验镜头都是糊的，拍照忘关闪光灯还被发现了。结果那个男的冲过来抢我手机还摔地上，他看完记录发现没有实证后就走了，还威胁我“给我等着”。好在那个女生空隙跑掉了。
灰灰的镇,北京 朝阳区,男,825,475,长沙很落后的
小黄吖嘎嘎嘎,其他,女,4,60,这是公共场合啊我不理解，这么喜欢抽烟自己麻袋套头上抽个够咯
想我了就给我托梦,湖南,男,97,4170,"公共场合 + 公共场合的室内不要去吸烟‼️‼️‼️别人不想吸你的二手烟‼️‼️‼️【你自己家里，外人家里不介意你爱怎么吸怎么吸，反正公共场合不行<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />】"
櫾沝佳柒,内蒙古,女,9,106,别恶心  ，公共场合就是不能吸烟
玫瑰园里的爱丽丝,上海,女,202,3294,公众人物都要像徐娇一样不怕事儿就好了！
yinvermouth,北京 东城区,男,491,3437,别的不说，抢手机呢？这就是文明城市？真他妈文明
Jamie鰻魚游呀游,广东 广州,女,202,1344,就不能理解那些在公共场所里吃饭不抽烟就要死掉的人
默念冰心诀,其他,男,44,330,"网暴素人，可以的，这时候又不说偷拍了是吧<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />"
买了个胡萝卜,浙江 杭州,女,0,146,真的非常厌恶这种哪哪都抽烟的人
玖伍柒仈,海外,女,15,419,"啊……，众所周知烟草贡献了最大的军费开支，公然反对抽烟，是不是额…………<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
singing鱼鱼,福建 福州,女,378,453,非常烦室内抽烟
雌壮威武,吉林 通化,女,0,4,把烟头按别人碗里算不算寻衅滋事？
稻田里的草梗,广西 南宁,女,55,75,"怎么不去管管烟草局不给抽干嘛要卖烟。又不是禁烟区。女明星就能随便录像网暴普通人了<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /> 没戏拍就去找戏拍啊。有戏就好好演。别一天天就搞这些争议性新闻当爆点。没流量闲得你来搞流量了是吧。"
东北甜妹李富贵儿,辽宁,女,433,4021,"要我说就这男的小心眼……情绪也不稳定……站起来出去抽不就好了嘛<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />有啥好生气的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
今天郑州堵车了吗,上海,男,137,4859,室内抽烟的人真的很没素质，游烟也是
鬼厉-is-me,北京 东城区,男,2265,2378,"室内抽烟不犯法？ 那抢手机和把烟头扔别人碗里犯不犯法呢？<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" /><img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" /><img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" /> 搞清楚，是抢手机，是抢，不是避重就轻说什么把手机打掉了🤣🤣🤣。"
丫头秧子,天津 和平区,女,120,58,餐厅还吸烟，素质真差
阿為_,上海,男,389,126,真没素质，劝了还不听，我好想知道这个男的是谁
0林宥信0,四川 成都,男,230,20,在中国，公共场所室内吸烟是违法的.《公共场所卫生管理条例实施细则》第十八条规定，室内公共场所禁止吸烟. 此外，《公共场所控制吸烟条例》也规定所有室内公共场所一律禁止吸烟.  不过，部分公共场所设有专门的吸烟区，吸烟者可在指定区域内吸烟，但需遵守相关规定.
第五周期第VI主族,其他,男,164,520,室内不都是禁烟的吗？
尖头叉子Expecto,安徽,女,386,115,没素质的男的是这样的
神锳侍者,北京,男,5,8,爱个锤子，小丑
每天都在磕到了,上海 静安区,女,174914,6141,这男的怎么还拉黑我啊，好神经。 
ll波仔ll,广东,男,48,398,你怎么知道他是素人
等你一起在,四川,男,57127,956,不是回应了吗？不违法
真的是徐也,福建,女,745,2010,我记得我小时候上政治品德课的时候说  公众场合有不道德行为是可以拍摄的
巫妖大魔王plus,浙江,男,400,31523,他是素人吗？他是人民群众的敌人！
唉想不到呦,北京 东城区,女,130,1393,脸都没拍就说网暴，是有多怕自己干的那点破事被人挂啊
LaLune_JY,上海 浦东新区,女,305,753,"他也没露脸啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
B-3_3-B,陕西 西安,男,1157,11,还真有你这种🦈🐝啊哈哈哈哈哈哈哈
祈愿家人健康快乐平安顺遂,广东 惠州,女,219,300,"从头到尾只看到了徐娇的名字、照片还有视频，这个男的除了性别之外网上什么都没有，还网暴呢<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />网暴空气吗"
等于你开闪电,其他,女,1,37,牠们这时候就开始说肖像权了 怎么当初人肉谭竹的时候不说   真该骟了牠们
卡图因,其他,男,1373,22,建议取消长沙“文明城市”资格！
激酱0001,其他,女,41,67,长沙的回应真的好掉价哦居然解释没有规定，可以随便抽
喵好早点睡,其他,女,25,1108,"长沙以后评上文明城市都是黑幕<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
我推的路易十六上断头台,其他,女,796,32088,"天天拍美女发网上造huang谣 问就是公共场合允许拍摄<img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" /><img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" /><img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" />"
On居士-Ajax,广东 深圳,男,1203,2287,只能猜，徐娇误以为长沙跟北京深圳这些一样有全面禁止室内公众场所吸烟，所以才举报并拍视频，谁知道你长沙没这个，只能后面也把视频删了。
打发时间打发时间打发,辽宁,男,34,2,"让<a href=/n/蔷蔷 usercard=""name=@蔷蔷"">@蔷蔷</a>，替我骂醒你"
